candidate_id,family,timeframe,trades_count,trades_per_day,win_rate_pct,profit_factor,bootstrap_ci_pf,max_drawdown_pct,net_pnl_usd,verdict
V28-REGIME-MEANREV-15M,Regime Adaptive Mean Reversion,15m,10,1.33,50.0,1.28,"[0.33, 5.27]",2.49,99.16,REJECTED (NO EDGE PROVEN)
V28-MTF-STRUCTURE-30M,MTF Structure Pullback,30m,10,1.33,40.0,0.5,"[0.09, 1.74]",2.46,-200.88,REJECTED (NO EDGE PROVEN)
V28-BREAKOUT-TREND-30M,Volatility Breakout Trend,30m,7,0.93,42.86,0.65,"[0.14, 4.95]",0.98,-97.52,REJECTED (NO EDGE PROVEN)
V28-REGIME-MEANREV-30M,Regime Adaptive Mean Reversion,30m,6,0.8,50.0,1.1,"[0.15, 6.69]",1.35,20.83,REJECTED (NO EDGE PROVEN)
V28-CONFLUENCE-FILTER-1H,Dynamic Volatility Confluence Filter,1h,14,1.87,50.0,0.69,"[0.22, 2.41]",2.87,-143.38,REJECTED (NO EDGE PROVEN)
V28-MTF-STRUCTURE-15M,MTF Structure Pullback,15m,14,1.87,21.43,0.2,"[0.00, 0.55]",6.11,-582.13,REJECTED (NO EDGE PROVEN)
V28-BREAKOUT-TREND-1H,Volatility Breakout Trend,1h,3,0.4,33.33,0.94,"[0.00, 0.00]",0.66,-4.27,REJECTED (NO EDGE PROVEN)
V28-CONFLUENCE-FILTER-4H,Dynamic Volatility Confluence Filter,4h,0,0.0,0.0,0.0,"[0.00, 0.00]",0.0,0.0,REJECTED (NO EDGE PROVEN)
V28-MOM-SQUEEZE-1H,Momentum Squeeze Continuation,1h,39,5.2,46.15,0.78,"[0.41, 1.50]",4.07,-298.29,REJECTED (NO EDGE PROVEN)
V28-MOM-SQUEEZE-30M,Momentum Squeeze Continuation,30m,81,10.8,32.1,0.41,"[0.25, 0.64]",21.39,-1977.86,REJECTED (NO EDGE PROVEN)
