candidate,timeframe,in_target_window,trades_per_day,total_trades,win_rate,net_pnl,profit_factor,ci_lower,ci_upper,expectancy_usd,expectancy_r,max_drawdown,ret_to_dd,verdict
V28-BREAKOUT-VOL-30M,30m,NO,2.37,213,36.6,-55.67,0.883,0.655,1.167,-0.26,-0.052,10.8,-0.002,FAIL_EXPECTANCY
V28-BREAKOUT-VOL-1H,1h,NO,2.03,183,37.2,11.73,1.021,0.74,1.368,0.06,0.014,8.5,0.001,FAIL_PF_CI_GATE
V28-MTF-PULLBACK-15M,15m,NO,5.69,512,38.3,-172.71,0.809,0.673,0.968,-0.34,-0.067,20.0,-0.002,FAIL_EXPECTANCY
V28-MTF-PULLBACK-30M,30m,NO,5.81,523,34.8,-294.58,0.782,0.652,0.949,-0.56,-0.116,31.5,-0.002,FAIL_EXPECTANCY
V28-REGIME-REVERSION-15M,15m,NO,2.4,216,44.0,-71.46,0.721,0.551,0.931,-0.33,-0.066,7.6,-0.004,FAIL_EXPECTANCY
V28-REGIME-REVERSION-30M,30m,NO,2.57,231,42.0,-83.71,0.783,0.599,1.008,-0.36,-0.072,9.7,-0.004,FAIL_EXPECTANCY
V28-MOM-CONTINUATION-30M,30m,NO,2.81,253,33.6,-58.5,0.906,0.689,1.195,-0.23,-0.045,10.7,-0.002,FAIL_EXPECTANCY
V28-MOM-CONTINUATION-1H,1h,NO,2.98,268,32.5,-94.62,0.895,0.672,1.158,-0.35,-0.069,18.0,-0.002,FAIL_EXPECTANCY
V28-DYNAMIC-CONFLUENCE-1H,1h,NO,5.87,528,29.5,-141.3,0.927,0.767,1.131,-0.27,-0.06,21.8,-0.001,FAIL_EXPECTANCY
V28-DYNAMIC-CONFLUENCE-4H,4h,NO,6.04,544,29.4,-73.64,0.963,0.799,1.142,-0.14,-0.026,15.4,-0.001,FAIL_EXPECTANCY
V29-LIQUIDITY-SWEEP-15M,15m,YES,1.38,124,32.3,-74.81,0.422,0.274,0.633,-0.6,-0.121,7.6,-0.008,FAIL_EXPECTANCY
V29-LIQUIDITY-SWEEP-1H,1h,YES,1.68,151,29.1,-139.86,0.535,0.363,0.791,-0.93,-0.186,14.2,-0.007,FAIL_EXPECTANCY
