candidate,timeframe,family,in_target_window,trades_per_day,total_trades,sample_status,win_rate,net_pnl,profit_factor,ci_lower,ci_upper,expectancy_usd,expectancy_r,max_drawdown,ret_to_dd,score,verdict
V30-VOL-ADAPTIVE-4H,4h,vol_adaptive,NO,4.23,381,SUFFICIENT SAMPLE (>=100 trades),36.2,51.17,1.04,0.849,1.273,0.13,0.029,10.8,0.001,15.08,PROFITABLE_BUT_NOT_ROBUST
V30-STRUCTURE-SWEEP-30M,30m,liquidity_reversal,YES,1.4,126,SUFFICIENT SAMPLE (>=100 trades),40.5,-18.31,0.878,0.589,1.264,-0.15,-0.029,4.6,-0.003,7.76,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE
V30-LIQUIDITY-REVERSAL-1H,1h,liquidity_reversal,YES,1.34,121,SUFFICIENT SAMPLE (>=100 trades),32.2,-82.02,0.629,0.401,0.929,-0.68,-0.136,8.3,-0.008,7.26,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE
V30-REGIME-TREND-30M,30m,regime_trend,NO,4.94,445,SUFFICIENT SAMPLE (>=100 trades),38.7,-20.63,0.978,0.796,1.179,-0.05,-0.01,11.3,-0.0,4.96,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-BREAKOUT-VOL-1H,1h,breakout_vol,NO,2.09,188,SUFFICIENT SAMPLE (>=100 trades),33.0,-45.06,0.924,0.656,1.247,-0.24,-0.048,10.0,-0.002,4.85,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-BREAKOUT-VOL-30M,30m,breakout_vol,NO,2.16,194,SUFFICIENT SAMPLE (>=100 trades),33.5,-67.19,0.844,0.604,1.136,-0.35,-0.07,10.7,-0.003,4.69,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-LIQUIDITY-REVERSAL-15M,15m,liquidity_reversal,NO,1.62,146,SUFFICIENT SAMPLE (>=100 trades),37.7,-52.1,0.619,0.414,0.869,-0.36,-0.072,5.2,-0.007,4.24,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-MTF-CONFLUENCE-30M,30m,mtf_confluence,NO,5.42,488,SUFFICIENT SAMPLE (>=100 trades),32.8,-20.05,0.985,0.801,1.208,-0.04,-0.008,17.5,-0.0,1.97,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-VOL-ADAPTIVE-1H,1h,vol_adaptive,NO,4.08,367,SUFFICIENT SAMPLE (>=100 trades),34.6,-113.42,0.902,0.722,1.123,-0.31,-0.061,18.7,-0.002,1.8,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-REGIME-TREND-1H,1h,regime_trend,NO,5.03,453,SUFFICIENT SAMPLE (>=100 trades),34.9,-156.48,0.89,0.723,1.072,-0.35,-0.07,27.4,-0.001,1.78,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-HYBRID-REGIME-1H,1h,regime_trend,NO,5.03,453,SUFFICIENT SAMPLE (>=100 trades),34.9,-156.48,0.89,0.723,1.072,-0.35,-0.07,27.4,-0.001,1.78,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-PULLBACK-CONT-30M,30m,pullback_cont,NO,4.93,444,SUFFICIENT SAMPLE (>=100 trades),38.7,-115.07,0.883,0.715,1.065,-0.26,-0.053,16.1,-0.002,1.77,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-MTF-CONFLUENCE-1H,1h,mtf_confluence,NO,5.41,487,SUFFICIENT SAMPLE (>=100 trades),27.5,-346.94,0.807,0.658,0.984,-0.71,-0.145,35.0,-0.002,1.61,NO_ROBUST_PROFITABLE_EDGE_FOUND
V30-PULLBACK-CONT-15M,15m,pullback_cont,NO,5.26,473,SUFFICIENT SAMPLE (>=100 trades),37.6,-187.43,0.756,0.621,0.899,-0.4,-0.079,20.0,-0.002,1.51,NO_ROBUST_PROFITABLE_EDGE_FOUND
