candidate,timeframe,family,freq_band,trades_per_day,win_rate,profit_factor,ci_lower,ci_upper,expectancy_usd,max_drawdown,verdict,robustness_score
V33-BREAKOUT-RETEST-1H,1h,breakout_retest,< 0.25/day,0.17,40.0,1.354,0.396,4.228,0.8,1.9,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.737
V33-VOL-EXPANSION-1H,1h,vol_expansion,< 0.25/day,0.16,42.9,1.195,0.307,3.816,0.51,1.7,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.685
V33-MEAN-REVERSION-30M,30m,mean_reversion,0.25-0.50/day,0.44,40.0,0.847,0.399,1.687,-0.27,4.5,V33_NO_ROBUST_PROFITABLE_EDGE,0.564
V33-LIQUIDITY-REVERSAL-1H,1h,liquidity_reversal,0.50-0.75/day,0.52,29.8,0.671,0.331,1.175,-0.97,4.7,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE,0.49
V33-BREAKOUT-RETEST-30M,30m,breakout_retest,< 0.25/day,0.16,35.7,0.632,0.131,2.085,-0.9,1.5,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.478
V33-TREND-CONT-1H,1h,trend_cont,0.25-0.50/day,0.4,25.0,0.523,0.174,1.119,-1.64,6.1,V33_NO_ROBUST_PROFITABLE_EDGE,0.424
V33-LIQUIDITY-REVERSAL-15M,15m,liquidity_reversal,0.50-0.75/day,0.61,21.8,0.395,0.183,0.725,-1.12,6.6,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE,0.381
V33-TREND-CONT-30M,30m,trend_cont,0.25-0.50/day,0.33,26.7,0.361,0.108,0.854,-1.72,5.6,V33_NO_ROBUST_PROFITABLE_EDGE,0.368
V33-MEAN-REVERSION-15M,15m,mean_reversion,0.25-0.50/day,0.4,25.0,0.294,0.105,0.606,-1.23,5.0,V33_NO_ROBUST_PROFITABLE_EDGE,0.346
V33-MOMENTUM-EXHAUSTION-30M,30m,momentum_exhaustion,0.25-0.50/day,0.49,15.9,0.259,0.082,0.547,-1.97,8.7,V33_NO_ROBUST_PROFITABLE_EDGE,0.317
V33-VOL-EXPANSION-30M,30m,vol_expansion,< 0.25/day,0.1,11.1,0.21,0.0,0.937,-3.1,3.5,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.287
V33-REGIME-TREND-1H,1h,regime_adaptive_trend,< 0.25/day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.2
V33-MTF-CONFLUENCE-30M,30m,mtf_confluence,< 0.25/day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.2
V33-MTF-CONFLUENCE-1H,1h,mtf_confluence,< 0.25/day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.2
V33-VOL-COMP-EXP-4H,4h,vol_comp_exp,< 0.25/day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.2
V33-ADAPTIVE-HYBRID-4H,4h,adaptive_hybrid,< 0.25/day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.2
V33-ADAPTIVE-HYBRID-1H,1h,adaptive_hybrid,< 0.25/day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.2
V33-VOL-COMP-EXP-1H,1h,vol_comp_exp,< 0.25/day,0.01,0.0,0.0,0.0,0.0,-5.37,0.5,PROMISING_BUT_INSUFFICIENT_SAMPLE,0.199
